Execution time: 3732.743196249008 seconds

Number of crossovers applied: 11985
Number of mutations applied: 978

Best individuals and their accuracies for each test:
Test 213 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 214 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 215 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 216 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 217 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 218 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 219 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 220 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 221 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 222 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 223 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 224 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 225 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 226 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 227 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 228 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 229 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 230 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 231 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 232 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 233 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 234 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 235 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 236 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 237 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 238 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 239 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 240 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 241 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 242 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 243 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 244 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 245 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 246 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 247 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 248 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 249 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 250 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 251 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 252 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 253 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 254 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 255 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 256 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 257 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 258 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 259 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 260 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 261 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 262 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 263 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 264 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 265 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 266 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 267 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 268 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 269 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 270 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 271 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 272 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 273 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 274 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 275 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 276 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 277 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 278 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 279 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 280 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 281 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 282 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 283 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 284 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 285 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 286 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 287 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 288 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 289 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 290 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 291 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 292 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 293 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 294 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 295 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 296 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 297 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 298 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 299 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 300 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 301 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 302 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 303 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 304 => Best Individual: 11001011, Fitness: 0.7987012987012987
