Execution time: 220.20728015899658 seconds

Number of crossovers applied: 632
Number of mutations applied: 41

Best individuals and their accuracies for each test:
Test 284 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 285 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 286 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 287 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 288 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 289 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 290 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 291 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 292 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 293 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 294 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 295 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 296 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 297 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 298 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 299 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 300 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 301 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 302 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 303 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 304 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 305 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 306 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 307 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 308 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 309 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 310 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 311 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 312 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 313 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 314 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 315 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 316 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 317 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 318 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 319 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 320 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 321 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 322 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 323 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 324 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 325 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 326 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 327 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 328 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 329 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 330 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 331 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 332 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 333 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 334 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 335 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 336 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 337 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 338 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 339 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 340 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 341 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 342 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 343 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 344 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 345 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 346 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 347 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 348 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 349 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 350 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 351 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 352 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 353 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 354 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 355 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 356 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 357 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 358 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 359 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 360 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 361 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 362 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 363 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 364 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 365 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 366 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 367 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 368 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 369 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 370 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 371 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 372 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 373 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 374 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 375 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 376 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 377 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 378 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 379 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 380 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 381 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 382 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 383 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 384 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 385 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 386 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 387 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 388 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 389 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 390 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 391 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 392 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 393 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 394 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 395 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 396 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 397 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 398 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 399 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 400 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 401 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 402 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 403 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 404 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 405 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 406 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 407 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 408 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 409 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 410 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 411 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 412 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 413 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 414 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 415 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 416 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 417 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 418 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 419 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 420 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 421 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 422 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 423 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 424 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 425 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 426 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 427 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 428 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 429 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 430 => Best Individual: 01100111, Fitness: 0.8051948051948052
Test 431 => Best Individual: 01100111, Fitness: 0.8051948051948052
